lead_id,lead_need,lead_owner,lead_budget,lead_source,lead_industry,lead_location,lead_authority,lead_companysize,lead_last_contacted,lead_conversion_history,lead_score,Converted,lead_interactions,lead_behavior_score,lead_engagemen_tscore,lead_conversion_outcome,lead_conversion_attempts
1,Standard,AE9,High,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-08-15,Failed,65,1,14,72,70,0,2
1,Standard,AE 8,Medium,Inbound,Finance,EMEA,Decision Maker,Enterprise,2023-07-15,Successful,70,1,12,57,68,1,1
1,Urgent,AE 8,High,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-01-01,Failed,75,1,13,69,72,0,2
1,Critical,AE 3,Low,Drift,Healthcare,AMER,Recommender,Mid-Market,2022-04-01,Successful,39,0,15,75,75,1,3
1,Standard,AE 4,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-01-15,Successful,66,1,9,58,70,1,1
1,Urgent,AE 7,Medium,Inbound,Finance,EMEA,Decision Maker,Small Business,2022-01-01,"Successful, Failed",77,1,10,58,75,0,2
1,Standard,AE 11,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-06-15,Successful,70,1,10,47,48,1,2
1,Standard,AE 8,Medium,Inbound,Healthcare,EMEA,Recommender,Small Business,2022-08-01,"Successful, Failed",49,0,12,72,75,1,2
1,Standard,AE 7,Medium,Inbound,Technology,EMEA,Decision Maker,Enterprise,2022-02-01,Failed,75,1,12,56,70,1,1
1,Urgent,AE 11,High,Employee Referral,Technology,EMEA,Decision Maker,Enterprise,2022-03-01,Failed,63,1,13,76,72,1,2
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-05-15,Successful,72,1,8,58,50,1,1
2,Standard,AE 5,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-12-15,Successful,70,1,9,74,64,1,1
2,Standard,AE 7,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-06-15,Successful,60,1,9,58,50,1,1
2,Urgent,AE 6,High,Employee Referral,Technology,EMEA,Decision Maker,Enterprise,2022-05-01,Failed,70,1,14,68,62,0,2
2,Critical,AE 8,High,Inbound,Healthcare,EMEA,Recommender,Small Business,2023-03-15,Successful,21,0,11,69,74,1,2
2,Standard,AE9,Medium,Inbound,Finance,EMEA,Decision Maker,Mid-Market,2023-06-15,Failed,14,0,12,58,60,0,2
2,Standard,AE 4,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2023-03-15,Successful,75,1,10,55,50,1,2
2,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-08-01,Failed,60,1,15,63,68,1,2
2,Standard,AE 8,Medium,Inbound,Retail,EMEA,Influencer,Small Business,2022-01-15,Successful,60,1,12,58,62,1,1
2,Standard,AE 7,Low,Inbound,Technology,EMEA,Recommender,Enterprise,2022-05-15,Successful,65,1,12,70,75,0,3
2,Critical,AE9,Low,Inbound,Healthcare,EMEA,Recommender,Mid-Market,2022-02-01,Failed,59,1,13,71,75,0,3
2,Urgent,AE 5,High,Inbound,Healthcare,EMEA,Decision Maker,Enterprise,2023-02-01,Successful,75,1,11,58,78,1,2
2,Urgent,AE 8,Medium,Inbound,Finance,EMEA,Influencer,Small Business,2022-12-15,Failed,64,1,11,56,61,0,2
2,Standard,AE 4,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-02-15,"Successful, Failed",55,1,9,70,48,1,2
2,Standard,AE 5,High,Inbound,Finance,EMEA,Influencer,Small Business,2022-07-01,Successful,53,1,10,50,59,1,1
2,Critical,AE 8,Medium,Inbound,Retail,EMEA,Recommender,Mid-Market,2023-07-01,"Successful, Failed",10,0,9,58,52,0,2
2,Standard,AE 7,Medium,Inbound,Retail,EMEA,Decision Maker,Small Business,2022-07-15,Successful,60,1,8,58,52,0,1
